Filepath	Title	Performers
./2014/20140611_JALC/T107_JALC.WAV	20140611_NewYorkNY_JALC_7PM_N/A	Michael Feinstein
./2014/20140611_JALC/T108_JALC.WAV	20140611_NewYorkNY_JALC_7PM_opening	Michael Feinstein
./2014/20140611_JALC/T109_JALC.WAV	20140612_NewYorkNY_JALC_7PM	Michael Feinstein
./2014/20140611_JALC/T110_JALC.WAV	20140612_NewYorkNY_JALC_9PM	Michael Feinstein
./2014/20140614_HamiltonOH/T111_Hamilton.WAV	20140614_HamiltonOH	Michael Feinstein
./2014/20140616_TCM/T112.WAV	20140616_TCM Filming1	Michael Feinstein
./2014/20140616_TCM/T113.WAV	20140616_TCM Filming2	Michael Feinstein
./2014/20140616_TCM/T114.WAV	20140616_TCM Filming3	Michael Feinstein
./2014/20140616_TCM/T115.WAV	20140616_TCM Filming4	Michael Feinstein
./2014/20140616_TCM/T116.WAV	20140616_TCM Filming5	Michael Feinstein
./2014/20140616_TCM/T117.WAV	20140616_TCM Filming6	Michael Feinstein
./2014/20140616_TCM/T118.WAV	20140616_TCM Filming7	Michael Feinstein
./2014/20140616_TCM/T119.WAV	20140616_TCM Filming8	Michael Feinstein
./2014/20140616_TCM/T120.WAV	20140616_TCM Filming9	Michael Feinstein
./2014/20140616_TCM/T121.WAV	20140616_TCM Filming10	Michael Feinstein
./2014/20140616_TCM/T122.WAV	20140616_TCM Filming11	Michael Feinstein
./2014/20140620_Carmelball/T132.WAV	20140620_Carmel IN Ball_	Michael Feinstein
./2014/20140620_Carmelball/T133.WAV	20140620_Carmel IN Ball_	Michael Feinstein
./2014/20140620_Carmelball/T134.WAV	20140620_Carmel IN Ball_	Michael Feinstein
./2014/20140620_Carmelball/T135_carmelBall.WAV	20140620_Carmel IN Ball_	Michael Feinstein
./2014/20140621_Carmelgala/T143_carmelgala.WAV	20140621_Carmel IN Gala_	Michael Feinstein
./2014/20140711_KansascityMOTrio/T144.WAV	20140711_KansascityMOTrio_Act 1	Michael Feinstein
./2014/20140711_KansascityMOTrio/T145.WAV	20140711_KansascityMOTrio_Act 2	Michael Feinstein
./2014/20140719_pasadenapops/T146.WAV	20140719_pasadenapops_Act 1	Michael Feinstein
./2014/20140719_pasadenapops/T147.WAV	20140719_pasadenapops_Act 2	Michael Feinstein
./2014/20140724_carmelvocal/T148.WAV	20140724_carmel IN vocal compatition1	Michael Feinstein
./2014/20140724_carmelvocal/T149.WAV	20140724_carmel IN vocal compatition2	Michael Feinstein
./2014/20140724_carmelvocal/T150.WAV	20140724_carmel IN vocal compatition3	Michael Feinstein
./2014/20140724_carmelvocal/T151.WAV	20140724_carmel IN vocal compatition4	Michael Feinstein
./2014/20140724_carmelvocal/T152.WAV	20140724_carmel IN vocal compatition5	Michael Feinstein
./2014/20140725_carmelVocalcomp/T153.WAV	20140725_carmel IN Vocal compatition Award Night Act 1	Michael Feinstein
./2014/20140725_carmelVocalcomp/T154.WAV	20140725_carmel IN Vocal compatition Award Night Act 2	Michael Feinstein
./2014/20140806_capeCod/T155.WAV	20140806_capeCod MA	Michael Feinstein
./2014/20140809_WestHamptonNY_Trio/T156.WAV	20140809_WestHamptonNY_Trio	Michael Feinstein
./2014/20140810_GreatBarringtonMA- TRIO/T157.WAV	20140810_GreatBarringtonMA- TRIO	Michael Feinstein
./2014/20140812_LOC WEashingtonDC/T158.WAV	20140812_LOC WashingtonDC	Michael Feinstein
./2014/20140816_pasadenaPops/T159.WAV	20140816_pasadenaPops_Act 1	Michael Feinstein
./2014/20140816_pasadenaPops/T160.WAV	20140816_pasadenaPops_Act 2	Michael Feinstein
./2014/20140821_Rainbow Room/T161.WAV	20140821_Rainbow Room_Rehearsal1	Michael Feinstein
./2014/20140821_Rainbow Room/T162.WAV	20140821_Rainbow Room_Rehearsal2	Michael Feinstein
./2014/20140821_Rainbow Room/T163.WAV	20140821_Rainbow Room_Rehearsal3	Michael Feinstein
./2014/20140821_Rainbow Room/T164.WAV	20140821_Rainbow Room_Rehearsal4	Michael Feinstein
./2014/20140821_Rainbow Room/T165.WAV	20140821_Rainbow Room_Rehearsal5	Michael Feinstein
./2014/20140821_Rainbow Room/T166.WAV	20140821_Rainbow Room_Rehearsal6	Michael Feinstein
./2014/20140821_Rainbow Room/T167.WAV	20140821_Rainbow Room_Rehearsal7	Michael Feinstein
./2014/20140821_Rainbow Room/T168.WAV	20140821_Rainbow Room_Rehearsal8	Michael Feinstein
./2014/20140821_Rainbow Room/T169.WAV	20140821_Rainbow Room	Michael Feinstein
./2014/20140822_Rainbow Room/T170.WAV	20140822_Rainbow Room	Michael Feinstein
./2014/20140822_Rainbow Room/T171.WAV	20140822_Rainbow Room	Michael Feinstein
./2014/20140823_RainbowRoom/T172.WAV	20140823_RainbowRoom Rehearsal1	Michael Feinstein
./2014/20140823_RainbowRoom/T173.WAV	20140823_RainbowRoom Rehearsal2	Michael Feinstein
./2014/20140823_RainbowRoom/T174.WAV	20140823_RainbowRoom Rehearsal3	Michael Feinstein
./2014/20140823_RainbowRoom/T175.WAV	20140823_RainbowRoom Rehearsal4	Michael Feinstein
./2014/20140823_RainbowRoom/T176.WAV	20140823_RainbowRoom	Michael Feinstein
./2014/20140823_RainbowRoom/T177.WAV	20140823_RainbowRoom Rehearsal	Michael Feinstein
./2014/20140829_London/T178.WAV	20140829_London_Rehearsal1	Michael Feinstein
./2014/20140829_London/T179.WAV	20140829_London_Rehearsal2	Michael Feinstein
./2014/20140829_London/T180.WAV	20140829_London_Rehearsal3	Michael Feinstein
./2014/20140829_London/T181.WAV	20140829_London_Rehearsal4	Michael Feinstein
./2014/20140829_London/T182.WAV	20140829_London_Rehearsal5	Michael Feinstein
./2014/20140829_London/T183.WAV	20140829_London_Rehearsal6	Michael Feinstein
./2014/20140829_London/T184.WAV	20140829_London_Rehearsal7	Michael Feinstein
./2014/20140829_London/T185.WAV	20140829_London_Rehearsal8	Michael Feinstein
./2014/20140829_London/T186.WAV	20140829_London_Act 1	Michael Feinstein
